log10(M_1i)(Msun),q_i(M_2i/M_1i),log10(P_i)(days),logL_1,logL_2,logT_1,logT_2,M_env_1,He_core_1,R_1(Rsun),R_2(Rsun),Mdot_w_1,Mdot_w_2,Mdot_rlo_2,case,"wfpc2,2,f555w,a2d7,cont#50180",Z,eps,"wfpc2,2,f814w,a2d7,cont#50180"
1.26,0.775,2.5,5.269392,4.575921,4.977618,4.47423,0.02336056,7.043828,1.578411731000513,7.290467864756405,4.123414558950776e-06,8.493036685205902e-09,0.0,EB,18.58659918733696 VEGAMAG,0.005,0.1,19.687259688482154 VEGAMAG
1.26,0.825,2.5,5.268569,4.684577,4.980715,4.468274,0.01573657,7.035965,1.5576540190620105,8.491697208977433,4.1586943274099935e-06,1.29508418501612e-08,0.0,EB,18.611720464267762 VEGAMAG,0.005,0.1,19.712702945802153 VEGAMAG
1.26,0.875,2.5,5.268311,4.79429,4.980668,4.450914,0.01472558,7.036121,1.5551532775665522,10.436791320301214,4.163446611434999e-06,1.7878990762741202e-08,0.0,EB,18.615292528773576 VEGAMAG,0.005,0.1,19.716287125473183 VEGAMAG
1.26,0.925,2.5,5.26804,4.904821,4.9801,4.417871,0.01474855,7.036142,1.5560093416868894,13.801173004340976,4.160380000522001e-06,2.0615600991949845e-08,0.0,EB,18.615006092505606 VEGAMAG,0.005,0.1,19.716264190337046 VEGAMAG
1.26,0.475,2.6,5.268507,3.825501,4.980551,4.424101,0.01597162,7.036284,1.5587013085439034,3.870849623677332,4.156798761530504e-06,2.0985581123201988e-10,0.0,EB,18.610547092761163 VEGAMAG,0.005,0.1,19.711583920686916 VEGAMAG
1.26,0.525,2.6,5.268953,3.96862,4.979046,4.439508,0.01941679,7.040924,1.5676102698533096,4.2516019737860296,4.141188506546567e-06,4.5336083550340503e-10,0.0,EB,18.600041467054243 VEGAMAG,0.005,0.1,19.701851869366784 VEGAMAG
1.26,0.575,2.6,5.268593,4.102366,4.980297,4.452488,0.01619696,7.037885,1.5605385445563351,4.671591934958947,4.154971029345753e-06,9.105839685714164e-10,0.0,EB,18.608406508600048 VEGAMAG,0.005,0.1,19.709553101043987 VEGAMAG
1.26,0.625,2.6,5.268391,4.228001,4.980892,4.463018,0.01438221,7.036338,1.5558592277683478,5.143062475998581,4.162881035137275e-06,1.716805120738516e-09,0.0,EB,18.61393746738453 VEGAMAG,0.005,0.1,19.71488641407849 VEGAMAG
1.26,0.675,2.6,5.269995,4.346529,4.978057,4.470914,0.02314972,7.045836,1.5821399613798182,5.684512162097111,4.121098548468126e-06,3.057834667044587e-09,0.0,EB,18.581285143503358 VEGAMAG,0.005,0.1,19.681926034223032 VEGAMAG
1.26,0.725,2.6,5.269456,4.462428,4.978689,4.475016,0.02095853,7.042118,1.574294941558499,6.374363123997059,4.133738502640863e-06,5.221304241941854e-09,0.0,EB,18.59115433488059 VEGAMAG,0.005,0.1,19.692765343099374 VEGAMAG
1.26,0.775,2.6,5.269127,4.575892,4.976002,4.474222,0.02502828,7.04513,1.5815127590850304,7.290513189588388,4.117949344550907e-06,8.491531011332884e-09,0.0,EB,18.580909285857064 VEGAMAG,0.005,0.1,19.683597633994054 VEGAMAG
1.26,0.825,2.6,5.268554,4.684556,4.980378,4.468271,0.0164312,7.037207,1.5599385833598944,8.491593579476106,4.152675541825856e-06,1.2949678906178586e-08,0.0,EB,18.60911337216439 VEGAMAG,0.005,0.1,19.710223019127472 VEGAMAG
1.26,0.875,2.6,5.268759,4.794258,4.980042,4.450901,0.01694436,7.038496,1.5602266796445687,10.437055671250238,4.1575358233491966e-06,1.7874915605373798e-08,0.0,EB,18.60920052576813 VEGAMAG,0.005,0.1,19.710504203037544 VEGAMAG
1.26,0.925,2.6,5.268851,4.90477,4.979122,4.417841,0.01938899,7.040605,1.5663734022533449,13.802253511393408,4.142475990897337e-06,2.0605065527939287e-08,0.0,EB,18.60168519838029 VEGAMAG,0.005,0.1,19.703521811250248 VEGAMAG
