log10(M_1i)(Msun),q_i(M_2i/M_1i),log10(P_i)(days),logL_1,logL_2,logT_1,logT_2,M_env_1,He_core_1,R_1(Rsun),R_2(Rsun),Mdot_w_1,Mdot_w_2,Mdot_rlo_2,case
1.32,0.975,3.38,5.414015,5.178585,4.208507,3.508444,0.3179354,8.793196,57.23807244632006,1246.3901264956764,6.981246938376065e-06,1.3266152946323376e-05,0.0,LB
1.32,0.975,3.4,5.41323,5.190401,4.148028,3.507739,0.3185008,8.840352,82.69057274086575,1267.7102447278467,6.9060385773034285e-06,1.3962365417424297e-05,0.0,LB
1.32,0.475,3.42,5.415964,4.165466,4.155926,4.446275,0.3250533,8.828741,79.6163016875065,5.169399541873607,6.916732819243195e-06,2.7109905268114616e-09,0.0,LB
1.32,0.575,3.42,5.417078,4.441688,4.496594,4.473995,0.179146,8.79006,17.06510638328784,6.253319232236251,7.634665255142974e-06,1.1135840452351781e-08,0.0,LB
1.32,0.925,3.42,5.413452,5.056111,4.148872,4.374208,0.3149793,8.849795,82.5123583117167,20.085562558383923,6.9044803824509696e-06,1.1570656478560565e-06,0.0,LB
1.32,0.975,3.42,5.408543,5.173127,3.867401,3.509975,0.4122491,8.856802,314.66323263915126,1230.4585829551154,8.673013052804624e-06,1.2914601205952974e-05,0.0,LB
1.32,0.575,3.44,5.413807,4.321148,4.137134,4.449171,0.3282899,8.849374,87.25051518461818,6.1022261687605655,6.87255145336118e-06,5.529463555665662e-09,0.0,LB
1.32,0.625,3.44,5.411796,4.476776,4.163311,4.465085,0.3153974,8.841796,78.64099504687806,6.783818188791007,6.9102060905277805e-06,1.2245175108365975e-08,0.0,LB
1.32,0.725,3.44,5.417492,4.72782,4.157892,4.476939,0.3258668,8.825909,79.87116148849972,8.57605978714716,6.905020940832806e-06,3.8899766998497164e-08,0.0,LB
1.32,0.775,3.44,5.417088,4.818648,4.165417,4.470733,0.3202905,8.827721,76.79624757238605,9.797399110702004,6.906340717000682e-06,5.474128653186381e-08,0.0,LB
1.32,0.825,3.44,5.417546,4.897283,4.167844,4.454681,0.3158626,8.834097,75.75424950324013,11.548564386354847,6.9375000618083915e-06,6.740141282004663e-08,0.0,LB
1.32,0.875,3.44,5.410985,4.989891,4.18054,4.428172,0.3129082,8.830728,72.00174136703419,14.516034777098815,6.954405338494678e-06,7.75861139612626e-08,0.0,LB
1.32,0.925,3.44,5.391352,5.032479,3.803485,4.350335,0.6235835,8.857554,413.0589150720876,21.817651482173957,1.065940589894191e-05,1.028750359533389e-06,0.0,LB
1.32,0.775,3.46,5.395241,4.730472,3.747537,4.446518,0.8161023,8.852201,530.3761665545189,9.895836244261465,1.3083531971417429e-05,3.227275195155306e-08,0.0,LB
1.32,0.825,3.46,5.392347,4.835597,3.748702,4.434311,0.8069666,8.85178,530.3663967544638,11.814680998833815,1.3079646301540173e-05,4.494320089226832e-08,0.0,LB
1.32,0.875,3.46,5.390192,4.942867,3.769087,4.404696,0.7120181,8.85178,482.17645536851234,15.321137140821188,1.2128860470752232e-05,7.655542996482356e-07,0.0,LB
1.3,0.975,3.42,5.365156,5.131567,4.358623,3.507157,0.2788996,8.275375,30.589050748784647,1187.7553628925334,6.2961055490046336e-06,1.100877511157076e-05,0.0,LB
1.3,0.925,3.44,5.372841,5.039809,4.345167,4.401859,0.2809123,8.283382,32.735275477785805,17.35569462203764,6.287572415964564e-06,1.1119646986667369e-06,0.0,LB
1.3,0.975,3.44,5.377467,5.106309,3.784847,3.507101,0.5857438,8.31421,438.36613871583813,1153.7109112484266,9.966232166984941e-06,9.931183351577753e-06,0.0,LB
1.3,0.725,3.46,5.358652,4.71216,4.946864,4.485082,0.03916572,8.208893,1.870182978756801,8.112768809225326,9.952495731666248e-06,3.853301575091823e-08,0.0,LB
1.3,0.775,3.46,5.360665,4.799024,4.359303,4.48029,0.2855511,8.259707,31.14504767478355,9.166076973988831,6.28679067035866e-06,5.405003754933134e-08,0.0,LB
1.3,0.825,3.46,5.368557,4.875256,4.368855,4.461069,0.2776221,8.267121,29.476370045134463,10.933091933792182,6.3043454132264824e-06,6.429645075738135e-08,0.0,LB
1.3,0.875,3.46,5.372106,4.955602,4.370834,4.433812,0.2733062,8.278647,29.23048356322263,13.596496023256602,6.3156782947808125e-06,7.092853667148175e-08,0.0,LB
1.28,0.975,3.42,5.32493,5.068963,4.489856,3.515528,0.167346,7.756141,15.702507156205549,1063.2931106981741,5.833765932645267e-06,8.259694795989793e-06,0.0,LB
1.28,0.925,3.44,5.328917,5.016402,4.882299,4.416251,0.06976459,7.728866,2.593313375476907,15.81113329556754,7.598904736128412e-06,7.618947833610244e-08,0.0,LB
1.28,0.975,3.44,5.331282,5.074772,4.184906,3.512587,0.2795825,7.815123,67.01360786139102,1085.0855998353604,5.394559654427867e-06,8.553955763755738e-06,0.0,LB
1.28,0.875,3.46,5.329429,4.931474,4.813866,4.441141,0.09132055,7.740462,3.4897611216783604,12.785213950507382,6.918277849269108e-06,6.788768511043547e-08,0.0,LB
1.28,0.925,3.46,5.331313,5.000711,4.16313,4.405551,0.286746,7.821015,73.82815239284935,16.31184177010031,5.3738061992589865e-06,9.482350406459091e-07,0.0,LB
1.28,0.975,3.46,5.320731,5.078058,3.764508,3.507076,0.54375,7.801383,447.8421849704264,1117.0767170096667,8.903955893141945e-06,8.854091382683518e-06,0.0,LB
1.28,0.625,3.48,5.335609,4.449638,4.769838,4.469093,0.1003996,7.819871,4.220785675884772,6.4549041836550245,6.72939467247497e-06,1.115290492518953e-08,0.0,LB
1.28,0.775,3.48,5.326603,4.7599,4.695956,4.478656,0.1195294,7.706727,5.785224277010992,8.828564616998497,6.293887849896798e-06,4.520911442749179e-08,0.0,LB
1.28,0.825,3.48,5.326072,4.840326,4.275037,4.462385,0.2801893,7.76517,42.21122928878577,10.438714025392487,5.466470389716742e-06,5.589294587505987e-08,0.0,LB
1.28,0.875,3.48,5.329354,4.921829,4.228722,4.437654,0.2743344,7.801216,54.359192911770826,12.848723992516598,5.421581616142317e-06,6.350179476140516e-08,0.0,LB
1.28,0.825,3.5,5.319474,4.760843,3.724112,4.43879,0.7175728,7.819962,543.6995831101514,10.619204883037659,1.0475867577661298e-05,3.39127493488331e-08,0.0,LB
1.28,0.875,3.5,5.325789,4.839665,3.692913,4.403034,0.999174,7.915229,628.661696231278,13.70903862346361,1.209113304605611e-05,5.00972630702663e-07,0.0,LB
