log10(M_1i)(Msun),q_i(M_2i/M_1i),log10(P_i)(days),logL_1,logL_2,logT_1,logT_2,M_env_1,He_core_1,R_1(Rsun),R_2(Rsun),Mdot_w_1,Mdot_w_2,Mdot_rlo_2,case,"wfpc2,2,f450w,a2d7,cont#50180",Z,eps,"wfpc2,2,f606w,a2d7,cont#50180","wfpc2,2,f814w,a2d7,cont#50180"
1.26,0.925,2.6,5.268851,4.90477,4.979122,4.417841,0.01938899,7.040605,1.5663734022533449,13.802253511393408,4.142475990897337e-06,2.0605065527939287e-08,0.0,EB,18.09815992615499 VEGAMAG,0.005,0.1,16.965982569514377 VEGAMAG,19.082150166877383 VEGAMAG
1.24,0.825,1.0,5.216993,4.628412,4.95723,4.463131,0.01068781,6.534328,1.6507887479795669,8.150765527530778,3.5729340502166674e-06,9.864611817608205e-09,0.0,EB,17.485341628480928 VEGAMAG,0.005,0.1,16.93137010080266 VEGAMAG,18.975106736959884 VEGAMAG
1.24,0.875,1.0,5.217715,4.739318,4.956645,4.447345,0.01330108,6.539035,1.6567149832449686,9.95912079507791,3.566884117357029e-06,1.3852558727051948e-08,0.0,EB,17.3153537874047 VEGAMAG,0.005,0.1,16.925654262326134 VEGAMAG,18.968333129512263 VEGAMAG
1.24,0.925,1.0,5.218261,4.852366,4.956338,4.415028,0.01555598,6.540653,1.6621472676107192,13.16364010082034,3.559549199000309e-06,1.6218138317189835e-08,0.0,EB,17.204129724569775 VEGAMAG,0.005,0.1,16.91963466948621 VEGAMAG,18.9617823705913 VEGAMAG
1.24,0.775,1.1,5.217601,4.518083,4.956971,4.46839,0.01250267,6.53828,1.6548445347423353,7.006741575100565,3.568937971996467e-06,6.385369007493765e-09,0.0,EB,17.414116545106697 VEGAMAG,0.005,0.1,16.926959078519598 VEGAMAG,18.97023802573804 VEGAMAG
1.24,0.825,1.1,5.218617,4.628292,4.955467,4.46309,0.01777536,6.544635,1.666298870758468,8.151165292138502,3.553562841941928e-06,9.855848067052331e-09,0.0,EB,16.890206296324298 VEGAMAG,0.005,0.1,16.917375414441228 VEGAMAG,18.958212779585853 VEGAMAG
1.24,0.875,1.1,5.219356,4.739187,4.954489,4.447324,0.02114954,6.548672,1.6783842676293752,9.958575035022935,3.539190992673069e-06,1.3841781838294832e-08,0.0,EB,16.473243703026636 VEGAMAG,0.005,0.1,16.905307889484984 VEGAMAG,18.9447894427118 VEGAMAG
1.24,0.925,1.1,5.219787,4.852253,4.953541,4.414989,0.02384512,6.551315,1.685699663032115,13.164276634640563,3.528726508729474e-06,1.6203133118264268e-08,0.0,EB,16.044153007128653 VEGAMAG,0.005,0.1,16.899351788917173 VEGAMAG,18.937473783608148 VEGAMAG
1.24,0.675,1.2,5.217587,4.287188,4.957103,4.463757,0.01226874,6.538046,1.6544467746677372,5.487034615571137,3.56954613977778e-06,2.252257283274676e-09,0.0,EB,17.448418261322377 VEGAMAG,0.005,0.1,16.927015020410433 VEGAMAG,18.970527549766626 VEGAMAG
1.24,0.725,1.2,5.217244,4.403131,4.954291,4.468526,0.01674558,6.542278,1.6648373095715776,6.134350687103728,3.555821896804024e-06,3.8758057260109636e-09,0.0,EB,16.407018855675418 VEGAMAG,0.005,0.1,16.923639205379445 VEGAMAG,18.962843224870205 VEGAMAG
1.24,0.775,1.2,5.218966,4.517943,4.955073,4.468355,0.01932237,6.546836,1.6725480372875985,7.006772229043151,3.5464512960994304e-06,6.3794171266558714e-09,0.0,EB,16.717372150655788 VEGAMAG,0.005,0.1,16.91070327779866 VEGAMAG,18.950998989783898 VEGAMAG
1.24,0.825,1.2,5.219831,4.62818,4.953507,4.463065,0.02403522,6.551563,1.6854175040044468,8.151069572066904,3.528629007759832e-06,9.848634039139346e-09,0.0,EB,16.030013276744622 VEGAMAG,0.005,0.1,16.899839217230028 VEGAMAG,18.937911593669217 VEGAMAG
1.24,0.875,1.2,5.220488,4.739086,4.951851,4.447293,0.02726649,6.556863,1.6980352435681547,9.958824980243518,3.5134518003453717e-06,1.3831204417475164e-08,0.0,EB,15.294382716431807 VEGAMAG,0.005,0.1,16.889726135313836 VEGAMAG,18.924782960487875 VEGAMAG
1.24,0.925,1.2,5.221431,4.85214,4.950285,4.414949,0.03203593,6.560887,1.7159984846515275,13.16500413955342,3.4882531894798285e-06,1.618769451360442e-08,0.0,EB,14.629094762049553 VEGAMAG,0.005,0.1,16.873023491181904 VEGAMAG,18.902727479511054 VEGAMAG
1.24,0.625,1.3,5.218277,4.167546,4.955758,4.45539,0.01660458,6.542864,1.6649576836116555,4.968788373154244,3.556853681864586e-06,1.248469680988723e-09,0.0,EB,17.001086587385043 VEGAMAG,0.005,0.1,16.918057285032976 VEGAMAG,18.959318943312024 VEGAMAG
1.24,0.675,1.3,5.219391,4.286968,4.95478,4.463695,0.02096252,6.548841,1.674604292124711,5.487216553430589,3.543790177079917e-06,2.2488164010291957e-09,0.0,EB,16.594596334797178 VEGAMAG,0.005,0.1,16.90912081808501 VEGAMAG,18.948997751860173 VEGAMAG
